gaze_direction_left_x,gaze_direction_left_y,gaze_direction_left_z,gaze_direction_right_x,gaze_direction_right_y,gaze_direction_right_z,gaze_direction_combined_x,gaze_direction_combined_y,gaze_direction_combined_z,gaze_origin_left_x,gaze_origin_left_y,gaze_origin_left_z,gaze_origin_right_x,gaze_origin_right_y,gaze_origin_right_z,pupil_diameter_left,pupil_diameter_right,pupil_position_left_x,pupil_position_left_y,pupil_positi_right_x,pupil_positin_right_y,eye_open_left,eye_open_right,time,validity,emotion
0,0,0,0.03092957,-0.1057739,-0.1057739,0.07826233,-0.2886047,0.9542389,0,0,0,0,0,0,-1,4.14299,-1,-1,0.2993268,0.8323482,1,1,1.084923,True,False
0,0,0,0.03025818,-0.1101685,-0.1101685,0.03025818,-0.1101685,0.9934387,0,0,0,0,0,0,-1,4.095261,-1,-1,0.3001048,0.8301384,1,1,1.095775,True,False
0,0,0,0.1153717,-0.137146,-0.137146,0.1153717,-0.137146,0.9837952,0,0,0,0,0,0,-1,4.026581,-1,-1,0.2802158,0.8485249,1,1,1.107152,True,False
0,0,0,0.1360931,-0.1797791,-0.1797791,0.1360931,-0.1797791,0.9742432,0,0,0,0,0,0,-1,4.038635,-1,-1,0.269629,0.8590437,1,1,1.118226,True,False
0.09098816,-0.2985687,0.9500275,0.04876709,-0.09315491,-0.09315491,0.09098816,-0.2985687,0.9500275,0,0,0,0,0,0,4.491959,4.398636,0.4814906,0.941714,0.2799565,0.8516323,1,1,1.129216,True,False
0,0,0,0.1569977,-0.06045532,-0.06045532,0.1569977,-0.06045532,0.985733,0,0,0,0,0,0,-1,4.361008,-1,-1,0.2595322,0.852559,1,1,1.140321,True,False
0.01194763,-0.285141,0.9584045,0.151886,-0.1230011,-0.1230011,0.01194763,-0.285141,0.9584045,0,0,0,0,0,0,3.994995,4.070572,0.4963357,0.9485497,0.2603745,0.8650452,1,1,1.151432,True,False
0,0,0,0.04905701,-0.1208801,-0.1208801,0.04905701,-0.1208801,0.9914398,0,0,0,0,0,0,-1,4.397034,-1,-1,0.2828828,0.8584839,1,1,1.162677,True,False
0.1134796,-0.176712,0.9776917,0.1066284,-0.1520386,-0.1520386,0.1134796,-0.176712,0.9776917,0,0,0,0,0,0,4.177597,4.276871,0.4767032,0.9177116,0.2728454,0.8610565,1,1,1.173533,True,False
0,0,0,0.1096954,-0.1392517,-0.1392517,0.1165771,-0.1639709,0.979538,0,0,0,0,0,0,-1,4.291138,-1,-1,0.2724552,0.8584839,1,1,1.185656,True,False
