gaze_direction_left_x,gaze_direction_left_y,gaze_direction_left_z,gaze_direction_right_x,gaze_direction_right_y,gaze_direction_right_z,gaze_direction_combined_x,gaze_direction_combined_y,gaze_direction_combined_z,gaze_origin_left_x,gaze_origin_left_y,gaze_origin_left_z,gaze_origin_right_x,gaze_origin_right_y,gaze_origin_right_z,pupil_diameter_left,pupil_diameter_right,pupil_position_left_x,pupil_position_left_y,pupil_positi_right_x,pupil_positin_right_y,eye_open_left,eye_open_right,time,validity,emotion
-0.08654785,-0.09898376,0.9913025,-0.006454468,-0.08703613,-0.08703613,-0.08653259,-0.09896851,0.9913177,0,0,0,0,0,0,3.863007,3.899857,0.5908284,0.6400939,0.3954402,0.6075317,1,1,1.076831,True,False
-0.070755,-0.0811615,0.9941711,-0.007141113,-0.09257507,-0.09257507,-0.06028748,-0.08306885,0.9947052,0,0,0,0,0,0,3.990234,3.900314,0.5889218,0.6382751,0.3964817,0.6092651,1,1,1.087825,True,False
-0.07922363,-0.09075928,0.9927063,-0.009521484,-0.09941101,-0.09941101,-0.01338196,-0.09895325,0.9949951,0,0,0,0,0,0,3.925629,3.795334,0.5908116,0.6400943,0.3972124,0.610477,1,1,1.099008,True,False
-0.07572937,-0.07826233,0.9940491,-0.0201416,-0.087677,-0.087677,-0.02035522,-0.08764648,0.9959412,0,0,0,0,0,0,3.987747,3.815262,0.5905076,0.6383173,0.3993293,0.6087064,1,1,1.110368,True,False
-0.07693481,-0.08187866,0.9936523,-0.01004028,-0.09153748,-0.09153748,-0.01052856,-0.09146118,0.9957428,0,0,0,0,0,0,4.015259,3.837357,0.5910939,0.639895,0.3980382,0.6104943,1,1,1.121516,True,False
-0.08036804,-0.09095764,0.9925995,-0.0201416,-0.09466553,-0.09466553,-0.02270508,-0.09451294,0.9952545,0,0,0,0,0,0,3.946411,3.787109,0.5919923,0.6418561,0.4000249,0.6117323,1,1,1.132523,True,False
-0.07614136,-0.08288574,0.9936371,-0.0199585,-0.08758545,-0.08758545,-0.02360535,-0.08729553,0.9958954,0,0,0,0,0,0,3.916,3.739441,0.5915617,0.6411201,0.4002171,0.6111097,1,1,1.143493,True,False
-0.07928467,-0.09564209,0.9922485,-0.0128479,-0.08731079,-0.08731079,-0.01301575,-0.08734131,0.9960785,0,0,0,0,0,0,3.851822,3.66217,0.5921423,0.6448194,0.3992849,0.6117164,1,1,1.154636,True,False
-0.07681274,-0.09815979,0.9921875,-0.01454163,-0.08804321,-0.08804321,-0.01756287,-0.08854675,0.9959106,0,0,0,0,0,0,3.818253,3.688156,0.5921263,0.6457108,0.3995841,0.6119531,1,1,1.16582,True,False
-0.0716095,-0.1173706,0.9904938,-0.01625061,-0.08685303,-0.08685303,-0.0163269,-0.0868988,0.9960785,0,0,0,0,0,0,3.77623,3.696884,0.5911878,0.6501334,0.3998833,0.6117164,1,1,1.177591,True,False
-0.0769043,-0.1020966,0.9917908,-0.02142334,-0.09321594,-0.09321594,-0.02146912,-0.0932312,0.9954071,0,0,0,0,0,0,3.880722,3.614563,0.5920594,0.6474791,0.4002928,0.6122022,1,1,1.189168,True,False
-0.07876587,-0.0750885,0.9940491,-0.0272522,-0.08312988,-0.08312988,-0.02729797,-0.08311462,0.9961548,0,0,0,0,0,0,3.611862,3.639923,0.5923798,0.642269,0.3997948,0.6104602,1,1,1.201177,True,False
-0.07484436,-0.08357239,0.9936829,-0.02346802,-0.08674622,-0.08674622,-0.02662659,-0.08654785,0.9958801,0,0,0,0,0,0,3.823761,3.665741,0.5905658,0.6434109,0.3990002,0.6105646,1,1,1.21306,True,False
-0.09552002,-0.08296204,0.9919586,-0.01991272,-0.08676147,-0.08676147,-0.03419495,-0.08609009,0.995697,0,0,0,0,0,0,3.705154,3.611542,0.5938211,0.6422335,0.3981873,0.6105041,1,1,1.224689,True,False
-0.07872009,-0.06584167,0.9947052,-0.01635742,-0.08682251,-0.08682251,-0.05433655,-0.07408142,0.9957581,0,0,0,0,0,0,3.783966,3.557648,0.5905522,0.6389793,0.3973745,0.6104435,1,1,1.236726,True,False
-0.07585144,-0.1127625,0.9907074,-0.01625061,-0.08607483,-0.08607483,-0.06051636,-0.1059265,0.9925232,0,0,0,0,0,0,3.68573,3.557892,0.5899552,0.6462213,0.3972181,0.6105232,1,1,1.247799,True,False
-0.08187866,-0.1093903,0.9906158,-0.01679993,-0.08560181,-0.08560181,-0.07330322,-0.1062775,0.9916229,0,0,0,0,0,0,3.747757,3.548706,0.5909047,0.6457768,0.3972962,0.610544,1,1,1.259284,True,False
-0.07244873,-0.1028748,0.9920502,-0.01551819,-0.08432007,-0.08432007,-0.02111816,-0.08615112,0.996048,0,0,0,0,0,0,3.720169,3.548859,0.5893364,0.6446899,0.397076,0.6107216,1,1,1.270754,True,False
-0.07606506,-0.09854126,0.992218,-0.01463318,-0.08401489,-0.08401489,-0.02163696,-0.0856781,0.9960785,0,0,0,0,0,0,3.692276,3.539001,0.5899552,0.6440476,0.3969339,0.6108785,1,1,1.281912,True,False
-0.07954407,-0.09706116,0.9920807,-0.01327515,-0.08596802,-0.08596802,-0.02366638,-0.08772278,0.9958496,0,0,0,0,0,0,3.711731,3.541458,0.590498,0.6440038,0.3966813,0.6115202,1,1,1.292866,True,False
-0.07629395,-0.0960083,0.9924469,-0.01173401,-0.08789063,-0.08789063,-0.02160645,-0.08914185,0.9957733,0,0,0,0,0,0,3.694458,3.537247,0.5899552,0.6439601,0.3964288,0.6121619,1,1,1.30399,True,False
-0.06187439,-0.09458923,0.9935913,-0.01531982,-0.08605957,-0.08605957,-0.02732849,-0.08827209,0.9957123,0,0,0,0,0,0,3.560837,3.489426,0.5882858,0.6448172,0.3975636,0.6128905,1,1,1.315375,True,False
-0.05838013,-0.09326172,0.993927,-0.01556396,-0.09031677,-0.09031677,-0.02098083,-0.09069824,0.9956512,0,0,0,0,0,0,3.546753,3.397217,0.5885296,0.6473225,0.3983686,0.615248,1,1,1.363082,True,False
